Entity,Code,Year,number_hos_men_vdem_owid,number_hos_women_vdem_owid
North America,,1887,11,0
North America,,1888,11,0
North America,,1889,11,0
North America,,1890,11,0
North America,,1891,11,0
North America,,1892,11,0
North America,,1893,11,0
North America,,1894,11,0
North America,,1895,11,0
North America,,1896,11,0
North America,,1897,11,0
North America,,1898,11,0
North America,,1899,10,0
North America,,1900,14,0
North America,,1901,14,0
North America,,1902,14,0
North America,,1903,15,0
North America,,1904,15,0
North America,,1905,15,0
North America,,1906,15,0
North America,,1907,15,0
North America,,1908,15,0
North America,,1909,15,0
North America,,1910,15,0
North America,,1911,15,0
North America,,1912,15,0
North America,,1913,15,0
North America,,1914,15,0
North America,,1915,15,0
North America,,1916,15,0
North America,,1917,15,0
North America,,1918,15,0
North America,,1919,15,0
North America,,1920,15,0
North America,,1921,15,0
North America,,1922,15,0
North America,,1923,15,0
North America,,1924,15,0
North America,,1925,15,0
North America,,1926,15,0
North America,,1927,15,0
North America,,1928,15,0
North America,,1929,15,0
North America,,1930,15,0
North America,,1931,15,0
North America,,1932,15,0
North America,,1933,15,0
North America,,1934,15,0
North America,,1935,15,0
North America,,1936,15,0
North America,,1937,15,0
North America,,1938,15,0
North America,,1939,15,0
North America,,1940,15,0
North America,,1941,15,0
North America,,1942,15,0
North America,,1943,15,0
North America,,1944,15,0
North America,,1945,15,0
North America,,1946,15,0
North America,,1947,15,0
North America,,1948,15,0
North America,,1949,15,0
North America,,1950,15,0
North America,,1951,15,0
North America,,1952,15,0
North America,,1953,15,0
North America,,1954,15,0
North America,,1955,15,0
North America,,1956,15,0
North America,,1957,15,0
North America,,1958,15,0
North America,,1959,15,0
North America,,1960,15,0
North America,,1961,15,0
North America,,1962,15,0
North America,,1963,15,0
North America,,1964,15,0
North America,,1965,15,0
North America,,1966,15,0
North America,,1967,15,0
North America,,1968,15,0
North America,,1969,15,0
North America,,1970,15,0
North America,,1971,15,0
North America,,1972,15,0
North America,,1973,15,0
North America,,1974,15,0
North America,,1975,15,0
North America,,1976,15,0
