Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Somalia,SOM,Sub-Saharan Africa,East Africa,, ,,0,12.00,144,20.67,119,-1,-1,-1,-1,13.2,158
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,, ,,0,48.15,15,45.66,14,-1,-1,40.70,21,61.4,12
South Sudan,SSD,Sub-Saharan Africa,East Africa,, ,,0,25.00,67,32.33,57,-1,-1,-1,-1,27.0,82
Spain,ESP,Europe,Western Europe,, ,,0,63.64,1,43.41,19,-1,-1,38.60,31,59.9,15
Sri Lanka,LKA,Asia and the Pacific,South Asia,,"Sirimavo Bandaranaike (July 21, 1960 to March 27, 1965), Sirimavo Bandaranaike (May 29, 1970 to July 23, 1977), Chandrika Kumaratunga (November 12, 1994 to November 19, 2005)","Sirimavo Bandaranaike, Chandrika Kumaratunga",2,0.00,184,5.33,179,9.04,78,10.9,122,14.0,155
Sudan,SDN,Sub-Saharan Africa,East Africa,, ,,0,16.67,111,-2,-2,-2,-2,-2,-2,10.0,171
Suriname,SUR,Americas,South America,, ,,0,29.41,61,31.37,61,42.04,16,33.10,45,41.9,48
Sweden,SWE,Europe,Northern Europe,,#-2,Magdalena Andersson,1,47.83,16,46.70,10,-1,-1,44,11,64.8,10
Switzerland,CHE,Europe,Western Europe,,"Ruth Dreifuss (January 1, 1999 to December 31, 1999), Micheline Calmy-Rey (January 1, 2007 to December 31, 2007), Doris Leuthard (January 1, 2010 to December 31, 2010), Micheline Calmy-Rey (January 1, 2011 to December 31, 2011), Eveline Widmer-Schlumpf (January 1, 2012 to December 31, 2012), Simonetta Sommaruga (January 1, 2015 to December 31, 2015), Doris Leuthard (January 1, 2017 to December 31, 2017), Simonetta Sommaruga (January 1, 2020 to December 31, 2020)","Ruth Dreifuss, Micheline Calmy-Rey, Doris Leuthard, Eveline Widmer-Schlumpf, Simonetta Sommaruga",5,42.86,22,37.80,36,40.75,20,39,26,56.0,18
Syria,SYR,Middle East and North Africa,Middle East,, ,,0,7.69,167,10.40,164,12.08,72,7.1,129,8.2,177
